"VS Code預設的檔案總管面板名稱是?","Explorer","Search","Source Control","Run & Debug","A"
"在VS Code中,如何開啟命令面板?","Ctrl+S","Ctrl+Shift+P","Ctrl+F","Ctrl+N","B"
"VS Code中,哪個快捷鍵可儲存目前檔案?","Ctrl+C","Ctrl+V","Ctrl+S","Ctrl+Z","C"
"要在VS Code中建立新檔案,可使用哪個快捷鍵?","Ctrl+O","Ctrl+N","Ctrl+P","Ctrl+Q","B"
"VS Code中,如何搜尋工作區檔案內容?","Ctrl+Shift+F","Ctrl+F","Ctrl+H","Ctrl+Alt+F","A"
"p5.js中draw()函式的主要用途是?","設定初始值","持續繪製畫面","載入資源","結束程式","B"
"p5.js中background()函式的功能是?","畫圓形","設定背景顏色","顯示文字","儲存檔案","B"
"p5.js中setup()函式何時執行?","每秒執行","程式啟動時","按下滑鼠時","永不執行","B"
"p5.js中text()函式的用途是?","顯示文字","顯示圖片","顯示按鈕","顯示連結","A"
"p5.js中fill()函式的用途是?","設定填充顏色","設定線條粗細","設定字型大小","設定透明度","A"
